task_name,seed,env,ordering,call_index,function_name,domain_dim,domain_sizes_json,max_batch,rmax,nswp,eps,kickrank,function_eval_requests,queried_points,rank_profile_json,rank_max
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,15,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,221362,221362,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 2]",4
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,16,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,17,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,221362,221362,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,18,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,19,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,221362,221362,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,20,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,21,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,221362,221362,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 5, 4, 4, 3, 3, 2, 2]",5
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,22,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,23,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,654134,654134,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,24,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,25,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,221362,221362,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,26,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,27,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,221362,221362,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,28,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,29,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,654134,654134,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 5, 4, 4, 3, 2]",5
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,30,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,31,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,654134,654134,"[3, 5, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",5
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,32,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,33,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,654134,654134,"[4, 5, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 5, 4, 4, 3, 2]",5
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,34,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,35,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,654134,654134,"[4, 5, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",5
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,36,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,37,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,654134,654134,"[4, 5, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 4, 3, 2]",5
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,38,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,39,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,654134,654134,"[4, 5, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 4, 3, 2]",5
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,40,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,41,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,654134,654134,"[4, 5, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 5, 4, 4, 3, 2]",5
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,42,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,43,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,1593066,1593066,"[4, 5, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",5
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,44,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,45,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,654134,654134,"[4, 5, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",5
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,46,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,47,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,1593066,1593066,"[4, 5, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 2]",5
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,48,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,49,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,1593066,1593066,"[4, 5, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 5, 4, 5, 4, 4, 3, 2]",5
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,50,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,51,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,1593066,1593066,"[4, 6, 5, 3, 4, 3, 4, 3, 4, 3, 4, 4, 5, 5, 6, 5, 5, 4, 2]",6
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,52,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,53,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,654134,654134,"[4, 6, 5, 3, 4, 3, 4, 3, 4, 3, 5, 4, 5, 4, 5, 4, 4, 3, 2]",6
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,54,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,55,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,1593066,1593066,"[4, 6, 5, 4, 5, 4, 5, 4, 5, 4, 7, 6, 7, 7, 8, 6, 6, 4, 2]",8
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,56,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,57,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,1593066,1593066,"[4, 7, 6, 4, 5, 4, 5, 5, 6, 5, 8, 6, 7, 6, 7, 5, 4, 3, 2]",8
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,58,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,59,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,1593066,1593066,"[4, 7, 6, 4, 5, 4, 5, 5, 6, 5, 7, 6, 7, 5, 7, 5, 4, 3, 2]",7
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,60,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,120960,120960,"[3, 3, 2]",3
HM8_state40_action50_iter30_orderlocal_seed0,0,HM8,local,61,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,1593066,1593066,"[5, 7, 6, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 4, 3, 2]",7
