seed,env,ordering,la_objective,peak_cut_objective,rankaware_proxy_objective,adv_rank_max,adv_rank_mean,val_rank_max,val_rank_mean,peak_memory_mb,runtime_sec,success_rate,avg_return,mu,best_success_rate,best_mu,best_s_times_mu,tt_cross_calls,tt_cross_function_evals,queried_points_total,adv_rank_profile_json,val_rank_profile_json,policy_rank_profile_json,training_seed,environment_seed,permutation_seed,state_sampling_seed,canonical_ordering,display_ordering,baseline_category,ordering_group,train_time_sec,ordering_search_time_sec,ttpi_training_time_sec,total_time_sec,status,oom,error_type,error_message
0,HM8,sensitivity_pam,336.0,30.0,53.6882932872699,7.0,4.578947368421052,3.0,2.6666666666666665,2756.164608,161.3778953552246,0.72,-245919314.35239786,0.7978917035700713,0.86,0.678910674232917,0.5838631798403086,61,27434376,27434376,"[4, 7, 6, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 5, 5, 4, 5, 3, 3]","[3, 3, 2]","[6, 9, 8, 6, 7, 6, 7, 6, 7, 6, 7, 6, 7, 7, 7, 6, 7, 5, 5]",0,2026,0,0,sensitivity_pam,SensitivityPAM,surrogate_baseline,surrogate_baseline,161.3716812133789,0.006214141845703125,161.3716812133789,161.3778953552246,ok,False,,
0,HM8,rankaware_proxy_pam,336.0,30.0,53.6882932872699,15.0,8.578947368421053,3.0,2.6666666666666665,4337.52576,208.40581440925598,0.28,-333705545.0575232,0.9783771847502055,0.5700000000000001,0.8267945148513872,0.4712728734652908,61,49393234,49393234,"[4, 6, 7, 7, 10, 8, 13, 8, 14, 9, 15, 9, 11, 9, 9, 7, 9, 6, 2]","[3, 3, 2]","[6, 8, 9, 9, 12, 10, 15, 10, 16, 11, 17, 11, 13, 11, 11, 9, 11, 8, 2]",0,2026,0,0,rankaware_proxy_pam,RankAwareProxyPAM,main_method,main_method,208.3993661403656,0.006448268890380859,208.3993661403656,208.40581440925598,ok,False,,
0,HM8,hybrid_pam,336.0,30.0,53.6882932872699,7.0,4.421052631578948,3.0,2.6666666666666665,2005.50656,163.29445433616638,0.61,-253682678.84716648,0.9349247140315573,0.8,0.7253688556541109,0.5802950845232887,61,27596850,27596850,"[5, 7, 6, 5, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 4, 3, 4, 3, 2]","[3, 3, 2]","[7, 9, 8, 7, 7, 6, 7, 6, 7, 6, 7, 6, 7, 6, 6, 5, 6, 5, 2]",0,2026,0,0,hybrid_pam,HybridPAM,main_method,main_method,163.2883198261261,0.006134510040283203,163.2883198261261,163.29445433616638,ok,False,,
1,HM8,local,448.0,46.0,58.29533159388881,7.0,5.157894736842105,3.0,2.6666666666666665,2421.324288,164.9885392189026,0.58,-268865777.19308203,0.9561122891604952,0.58,0.9561122891604952,0.5545451277130872,61,28103010,28103010,"[4, 7, 5, 4, 5, 4, 5, 4, 6, 6, 7, 5, 7, 6, 7, 5, 5, 4, 2]","[3, 3, 2]","[6, 9, 7, 6, 7, 6, 7, 6, 8, 8, 9, 7, 9, 8, 9, 7, 7, 6, 2]",1,2026,0,1,local,Local,primary_baseline,primary_baseline,164.98222422599792,0.006314992904663086,164.98222422599792,164.9885392189026,ok,False,,
1,HM8,random,910.0,92.0,69.29141377889368,19.0,8.368421052631579,3.0,2.6666666666666665,10619.117056,123.67316937446594,,,,0.72,0.6663893903412155,0.47980036104567514,29,74423450,74423450,"[3, 3, 3, 3, 4, 5, 6, 8, 9, 11, 12, 12, 15, 19, 17, 14, 8, 4, 3]","[3, 3, 2]","[5, 5, 5, 5, 6, 7, 8, 10, 11, 13, 14, 14, 17, 21, 19, 16, 10, 6, 5]",1,2026,0,1,random,Random,diagnostic_control,diagnostic_control,123.6666350364685,0.0065343379974365234,123.6666350364685,123.67316937446594,oom,True,OutOfMemoryError,"CUDA out of memory. Tried to allocate 6.17 GiB. GPU 0 has a total capacity of 15.47 GiB of which 889.75 MiB is free. Including non-PyTorch memory, this process has 13.92 GiB memory in use. Of the allocated memory 6.29 GiB is allocated by PyTorch, and 7.25 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
1,HM8,random,864.0,92.0,68.47874348456477,16.0,7.315789473684211,3.0,2.6666666666666665,10618.072064,119.52028822898865,,,,0.63,0.6452186761304376,0.4064877659621757,29,67884800,67884800,"[3, 4, 4, 4, 5, 6, 7, 8, 10, 12, 13, 16, 14, 10, 6, 5, 5, 4, 3]","[3, 3, 2]","[5, 6, 6, 6, 7, 8, 9, 10, 12, 14, 15, 18, 16, 12, 8, 7, 7, 6, 5]",1,2026,1,1,random,Random,diagnostic_control,diagnostic_control,119.5138680934906,0.006420135498046875,119.5138680934906,119.52028822898865,oom,True,OutOfMemoryError,"CUDA out of memory. Tried to allocate 6.17 GiB. GPU 0 has a total capacity of 15.47 GiB of which 4.42 GiB is free. Including non-PyTorch memory, this process has 10.40 GiB memory in use. Of the allocated memory 6.29 GiB is allocated by PyTorch, and 3.74 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
1,HM8,random,758.0,84.0,66.60784146718888,23.0,9.526315789473685,3.0,2.6666666666666665,10619.826176,185.28720045089722,,,,0.59,0.7651537302571155,0.45144070085169813,43,78721540,78721540,"[4, 5, 5, 5, 6, 7, 10, 11, 9, 11, 13, 15, 17, 23, 17, 9, 8, 4, 2]","[3, 3, 2]","[6, 7, 7, 7, 8, 9, 12, 13, 11, 13, 15, 17, 19, 25, 19, 11, 10, 4, 2]",1,2026,2,1,random,Random,diagnostic_control,diagnostic_control,185.27955603599548,0.0076444149017333984,185.27955603599548,185.28720045089722,oom,True,OutOfMemoryError,"CUDA out of memory. Tried to allocate 4.89 GiB. GPU 0 has a total capacity of 15.47 GiB of which 4.62 GiB is free. Including non-PyTorch memory, this process has 10.23 GiB memory in use. Of the allocated memory 5.00 GiB is allocated by PyTorch, and 4.86 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
1,HM8,badsplit,988.0,112.0,70.48484673610633,13.0,7.157894736842105,3.0,2.6666666666666665,10618.745856,101.06293773651123,,,,0.87,0.7619128246073272,0.6628641574083747,27,40276292,40276292,"[3, 3, 3, 3, 4, 5, 6, 7, 9, 10, 11, 12, 12, 13, 13, 9, 7, 4, 2]","[3, 3, 2]","[5, 5, 5, 5, 6, 7, 8, 9, 11, 12, 13, 14, 14, 15, 15, 11, 8, 4, 2]",1,2026,0,1,badsplit,BadSplit,diagnostic_control,diagnostic_control,101.05651140213013,0.006426334381103516,101.05651140213013,101.06293773651123,oom,True,OutOfMemoryError,"CUDA out of memory. Tried to allocate 6.17 GiB. GPU 0 has a total capacity of 15.47 GiB of which 3.15 GiB is free. Including non-PyTorch memory, this process has 11.70 GiB memory in use. Of the allocated memory 6.30 GiB is allocated by PyTorch, and 5.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
1,HM8,reverse_blocks,448.0,46.0,58.29533159388881,7.0,5.2105263157894735,3.0,2.6666666666666665,2433.4336,163.01409721374512,0.37,-251211447.05957848,0.6655957907466443,0.89,0.6978351239130095,0.6210732602825785,61,25792374,25792374,"[5, 7, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 7, 5, 6, 5, 4, 3, 2]","[3, 3, 2]","[7, 9, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 9, 7, 8, 7, 6, 5, 2]",1,2026,0,1,reverse_blocks,ReverseBlocks,diagnostic_control,diagnostic_control,163.00763463974,0.006462574005126953,163.00763463974,163.01409721374512,ok,False,,
1,HM8,flip_within_block,448.0,46.0,58.29533159388881,19.0,10.894736842105264,3.0,2.6666666666666665,10619.000832,242.94037079811096,,,,0.29,0.6398900628885148,0.18556811823766928,59,91868148,91868148,"[4, 7, 9, 9, 12, 10, 15, 11, 15, 12, 19, 11, 15, 11, 18, 9, 10, 5, 5]","[3, 3, 2]","[6, 9, 11, 11, 14, 12, 17, 13, 17, 14, 21, 13, 17, 13, 20, 11, 12, 7, 7]",1,2026,0,1,flip_within_block,FlipWithinBlock,diagnostic_control,diagnostic_control,242.93402671813965,0.0063440799713134766,242.93402671813965,242.94037079811096,oom,True,OutOfMemoryError,"CUDA out of memory. Tried to allocate 6.17 GiB. GPU 0 has a total capacity of 15.47 GiB of which 4.07 GiB is free. Process 1916578 has 297.45 MiB memory in use. Including non-PyTorch memory, this process has 10.38 GiB memory in use. Of the allocated memory 6.30 GiB is allocated by PyTorch, and 3.72 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
