env,ordering,state_index,state_type,cut,exact_unfolding,matrix_rows,matrix_cols,top_singular_value,effective_rank_relerr_0.1,effective_rank_relerr_0.05,effective_rank_relerr_0.01
HM8,rankaware_proxy_pam,2,hard,9,False,663552,165888,2882816191.7628675,2,2,2
HM8,rankaware_proxy_pam,2,hard,10,False,7962624,13824,2882857925.580953,2,2,2
HM8,rankaware_proxy_pam,2,hard,11,False,95551488,1152,2882848851.7329335,2,2,2
HM8,rankaware_proxy_pam,2,hard,12,False,191102976,576,2882823355.873104,2,2,2
HM8,rankaware_proxy_pam,2,hard,13,False,2293235712,48,882708107.0209329,2,2,2
HM8,rankaware_proxy_pam,2,hard,14,False,4586471424,24,624137854.1468153,2,2,2
HM8,rankaware_proxy_pam,2,hard,15,False,55037657088,2,180177179.26645163,2,2,2
HM8,hybrid_pam,0,easy,1,False,12,9172942848,5443438.267326428,2,2,2
HM8,hybrid_pam,0,easy,2,False,24,4586471424,7731361.547911908,2,2,2
HM8,hybrid_pam,0,easy,3,False,288,382205952,26672717.240920004,2,2,2
HM8,hybrid_pam,0,easy,4,False,576,191102976,35663907.76178238,2,2,2
HM8,hybrid_pam,0,easy,5,False,6912,15925248,35551768.397923075,2,2,2
HM8,hybrid_pam,0,easy,6,False,13824,7962624,35689869.52533168,2,2,2
HM8,hybrid_pam,0,easy,7,False,165888,663552,35629361.43576835,2,2,2
HM8,hybrid_pam,0,easy,8,False,331776,331776,35603156.36375126,2,2,2
HM8,hybrid_pam,0,easy,9,False,3981312,27648,35606991.76490518,2,2,2
HM8,hybrid_pam,0,easy,10,False,7962624,13824,35574263.66610322,2,2,2
HM8,hybrid_pam,0,easy,11,False,95551488,1152,35695502.44853506,2,2,2
HM8,hybrid_pam,0,easy,12,False,191102976,576,35628270.66801155,2,2,2
HM8,hybrid_pam,0,easy,13,False,2293235712,48,10902310.939303756,2,2,2
HM8,hybrid_pam,0,easy,14,False,4586471424,24,7748405.144380785,2,2,2
HM8,hybrid_pam,0,easy,15,False,55037657088,2,2248478.6574506876,2,2,2
HM8,hybrid_pam,1,boundary,1,False,12,9172942848,49436933.82929408,2,2,2
HM8,hybrid_pam,1,boundary,2,False,24,4586471424,69896600.23019084,2,2,2
HM8,hybrid_pam,1,boundary,3,False,288,382205952,242091646.63619047,2,2,2
HM8,hybrid_pam,1,boundary,4,False,576,191102976,322833463.5885851,2,2,2
HM8,hybrid_pam,1,boundary,5,False,6912,15925248,322873601.01211095,2,2,2
HM8,hybrid_pam,1,boundary,6,False,13824,7962624,322805947.1618604,2,2,2
HM8,hybrid_pam,1,boundary,7,False,165888,663552,322827848.3295735,2,2,2
HM8,hybrid_pam,1,boundary,8,False,331776,331776,322840771.68646204,2,2,2
HM8,hybrid_pam,1,boundary,9,False,3981312,27648,322803461.5676128,2,2,2
HM8,hybrid_pam,1,boundary,10,False,7962624,13824,322745516.14384717,2,2,2
HM8,hybrid_pam,1,boundary,11,False,95551488,1152,322814820.40525925,2,2,2
HM8,hybrid_pam,1,boundary,12,False,191102976,576,322761820.336004,2,2,2
HM8,hybrid_pam,1,boundary,13,False,2293235712,48,98870591.62175018,2,2,2
HM8,hybrid_pam,1,boundary,14,False,4586471424,24,69926056.17759861,2,2,2
HM8,hybrid_pam,1,boundary,15,False,55037657088,2,20176873.163892996,2,2,2
HM8,hybrid_pam,2,hard,1,False,12,9172942848,441338091.9719395,2,2,2
HM8,hybrid_pam,2,hard,2,False,24,4586471424,624192899.7610117,2,2,2
HM8,hybrid_pam,2,hard,3,False,288,382205952,2162147466.30118,2,2,2
HM8,hybrid_pam,2,hard,4,False,576,191102976,2882851608.743819,2,2,2
HM8,hybrid_pam,2,hard,5,False,6912,15925248,2882796487.7057085,2,2,2
HM8,hybrid_pam,2,hard,6,False,13824,7962624,2882783941.901914,2,2,2
HM8,hybrid_pam,2,hard,7,False,165888,663552,2882851915.3446436,2,2,2
HM8,hybrid_pam,2,hard,8,False,331776,331776,2882877445.6446376,2,2,2
HM8,hybrid_pam,2,hard,9,False,3981312,27648,2882786804.3467917,2,2,2
HM8,hybrid_pam,2,hard,10,False,7962624,13824,2882922978.9307647,2,2,2
HM8,hybrid_pam,2,hard,11,False,95551488,1152,2882845555.687442,2,2,2
HM8,hybrid_pam,2,hard,12,False,191102976,576,2882844557.8144603,2,2,2
HM8,hybrid_pam,2,hard,13,False,2293235712,48,882649277.4160542,2,2,2
HM8,hybrid_pam,2,hard,14,False,4586471424,24,624145504.0992405,2,2,2
HM8,hybrid_pam,2,hard,15,False,55037657088,2,180176488.53550038,2,2,2
